tenant_id,source_product_id,source_name,category,source_unit,source_stockUnit,final_code,target_action,unit_semantics,evidence_sources,evidence_type,confidence,status,owner_required
comp_1777895277336,prod_1779104541910,Phế Phẩm,Phụ,Kg,Cái,HD-BYPRODUCT-1779104541910,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104561166,Phí Ship,Phụ,Chuyến,Cái,HD-SERVICE-1779104561166,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1779104571278,Đá,Phụ,Bao,Cái,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104605054,Vịt Loại,Vịt,Con,Con,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1779104619174,Gà Loại,Vịt,Con,Con,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1781562583964,Mỡ Gà,Gà,Kg,Kg,HD-BYPRODUCT-1781562583964,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_UOM,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1781656503918,Lông Vịt,Vịt,Kg,Kg,HD-BYPRODUCT-1781656503918,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_UOM,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1780202063417,prod_1782399766159,Vịt Không Móc,Vịt,Kg,Kg,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1780202063417,prod_1782399802559,Vịt Không Móc,Vịt,Kg,Kg,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1782977822236,Phao Câu,Lòng,Kg,Kg,HD-BYPRODUCT-1782977822236,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_UOM,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,INFERRED,HIGH,AUTO_RESOLVED,YES
comp_1777895277336,prod_1786785535576,Vịt Không Móc To,Vịt,Con,Con,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
comp_1777895277336,prod_1786785560787,Vịt Không Móc Trung,Vịt,Con,Con,,OWNER_REVIEW,OWNER_REVIEW,PRODUCT-CODE-PROPOSAL.csv;PRODUCT-OWNER-DECISION-PACK.csv,OWNER_REVIEW,NONE,OWNER_REVIEW,YES
