source_product_id,tenant,name,source_unit,source_stockUnit,approved_semantics,required_uom,base_uom,purchase_uom,sales_uom,inventory_uom,conversion_required,owner_required,status
prod_1779104313397,comp_1777895277336,Vịt Bọng,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104330830,comp_1777895277336,Cánh Gà,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104342214,comp_1777895277336,Đùi Gà,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104360773,comp_1777895277336,Đùi Tỏi,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104371789,comp_1777895277336,Ức Gà,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104388678,comp_1777895277336,Gà Bọng,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104406958,comp_1777895277336,Chân Gà,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104421262,comp_1777895277336,Chân Vịt,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104434102,comp_1777895277336,Đầu Gà,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104446485,comp_1777895277336,Đầu Vịt,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104459006,comp_1777895277336,Đầu Vịt Dài,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104474430,comp_1777895277336,Lòng Gà,Bộ,Bộ,BYPRODUCT_PRESERVE_SOURCE_UOM,Bộ,Bộ,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_AUTOMATIC_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104486206,comp_1777895277336,Lòng Vịt,Bộ,Bộ,BYPRODUCT_PRESERVE_SOURCE_UOM,Bộ,Bộ,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_AUTOMATIC_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104526942,comp_1777895277336,Thùng Xốp,Cái,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104541910,comp_1777895277336,Phế Phẩm,Kg,Cái,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104561166,comp_1777895277336,Phí Ship,Chuyến,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104571278,comp_1777895277336,Đá,Bao,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104605054,comp_1777895277336,Vịt Loại,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104619174,comp_1777895277336,Gà Loại,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1781562583964,comp_1777895277336,Mỡ Gà,Kg,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,Kg,Kg,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_AUTOMATIC_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1781656503918,comp_1777895277336,Lông Vịt,Kg,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,Kg,Kg,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_AUTOMATIC_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1782399766159,comp_1780202063417,Vịt Không Móc,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1782399802559,comp_1780202063417,Vịt Không Móc,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1782977822236,comp_1777895277336,Phao Câu,Kg,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,Kg,Kg,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_AUTOMATIC_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1786785535576,comp_1777895277336,Vịt Không Móc To,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1786785560787,comp_1777895277336,Vịt Không Móc Trung,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
