tenant,product,required_uom,role,conversion_required,conversion_status,owner_required,target_status
comp_1777895277336 / prod_1779104313397,Vịt Bọng / prod_1779104313397,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104330830,Cánh Gà / prod_1779104330830,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104342214,Đùi Gà / prod_1779104342214,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104360773,Đùi Tỏi / prod_1779104360773,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104371789,Ức Gà / prod_1779104371789,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104388678,Gà Bọng / prod_1779104388678,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104406958,Chân Gà / prod_1779104406958,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104421262,Chân Vịt / prod_1779104421262,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104434102,Đầu Gà / prod_1779104434102,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104446485,Đầu Vịt / prod_1779104446485,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104459006,Đầu Vịt Dài / prod_1779104459006,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104474430,Lòng Gà / prod_1779104474430,Bộ,OWNER_REVIEW,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104486206,Lòng Vịt / prod_1779104486206,Bộ,OWNER_REVIEW,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104526942,Thùng Xốp / prod_1779104526942,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104541910,Phế Phẩm / prod_1779104541910,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104561166,Phí Ship / prod_1779104561166,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104571278,Đá / prod_1779104571278,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104605054,Vịt Loại / prod_1779104605054,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104619174,Gà Loại / prod_1779104619174,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1781562583964,Mỡ Gà / prod_1781562583964,Kg,OWNER_REVIEW,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1781656503918,Lông Vịt / prod_1781656503918,Kg,OWNER_REVIEW,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1780202063417 / prod_1782399766159,Vịt Không Móc / prod_1782399766159,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1780202063417 / prod_1782399802559,Vịt Không Móc / prod_1782399802559,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1782977822236,Phao Câu / prod_1782977822236,Kg,OWNER_REVIEW,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1786785535576,Vịt Không Móc To / prod_1786785535576,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1786785560787,Vịt Không Móc Trung / prod_1786785560787,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
