product_id,product,required_uom,conversion_required,conversion_status,evidence_type,confidence,status,reason,owner_required
prod_1779104526942,Thùng Xốp / prod_1779104526942,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1779104541910,Phế Phẩm / prod_1779104541910,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1779104561166,Phí Ship / prod_1779104561166,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1779104571278,Đá / prod_1779104571278,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1779104605054,Vịt Loại / prod_1779104605054,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1779104619174,Gà Loại / prod_1779104619174,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1781562583964,Mỡ Gà / prod_1781562583964,Kg,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,FACT,HIGH,AUTO_RESOLVED,Approved byproduct policy: preserve source UOM; no automatic conversion.,YES
prod_1781656503918,Lông Vịt / prod_1781656503918,Kg,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,FACT,HIGH,AUTO_RESOLVED,Approved byproduct policy: preserve source UOM; no automatic conversion.,YES
prod_1782399766159,Vịt Không Móc / prod_1782399766159,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1782399802559,Vịt Không Móc / prod_1782399802559,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1782977822236,Phao Câu / prod_1782977822236,Kg,NO_AUTOMATIC_CONVERSION,NO_FIXED_CONVERSION_APPROVED,FACT,HIGH,AUTO_RESOLVED,Approved byproduct policy: preserve source UOM; no automatic conversion.,YES
prod_1786785535576,Vịt Không Móc To / prod_1786785535576,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
prod_1786785560787,Vịt Không Móc Trung / prod_1786785560787,OWNER_REVIEW,,NOT_DETERMINED,OWNER_REVIEW,NONE,OWNER_REVIEW,Role/target UOM semantics are not directly evidenced for this row.,YES
