tenant_id,source_product_id,source_name,category,source_unit,source_stock_unit,product_code,base_unit,unit_semantics_decision,duplicate_decision,target_product_decision,owner_decision,owner_note,approved_by,approved_at
comp_1777895277336,prod_1779104330830,Cánh Gà,Gà Công Nghiệp,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104330830,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104330830; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104342214,Đùi Gà,Gà Công Nghiệp,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104342214,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104342214; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104360773,Đùi Tỏi,Gà Công Nghiệp,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104360773,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104360773; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104371789,Ức Gà,Gà Công Nghiệp,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104371789,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104371789; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104388678,Gà Bọng,Gà Công Nghiệp,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104406958,Chân Gà,Chân,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104406958,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104406958; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104421262,Chân Vịt,Chân,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104421262,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104421262; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104434102,Đầu Gà,Phụ,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104434102,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104434102; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104446485,Đầu Vịt,Phụ,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104446485,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104446485; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104459006,Đầu Vịt Dài,Phụ,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104459006,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104459006; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104474430,Lòng Gà,Lòng,Bộ,Bộ,PROPOSED:HD-BYPRODUCT-1779104474430,Bộ,BYPRODUCT_PRESERVE_SOURCE_UOM,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104474430; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104486206,Lòng Vịt,Lòng,Bộ,Bộ,PROPOSED:HD-BYPRODUCT-1779104486206,Bộ,BYPRODUCT_PRESERVE_SOURCE_UOM,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104486206; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104526942,Thùng Xốp,Phụ,Cái,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104541910,Phế Phẩm,Phụ,Kg,Cái,PROPOSED:HD-BYPRODUCT-1779104541910,OWNER_REVIEW,BYPRODUCT_PRESERVE_SOURCE_AND_STOCK_UOM_OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1779104541910; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104561166,Phí Ship,Phụ,Chuyến,Cái,PROPOSED:HD-SERVICE-1779104561166,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; PROPOSED code HD-SERVICE-1779104561166; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104571278,Đá,Phụ,Bao,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104605054,Vịt Loại,Vịt,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104619174,Gà Loại,Vịt,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1781562583964,Mỡ Gà,Gà,Kg,Kg,PROPOSED:HD-BYPRODUCT-1781562583964,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1781562583964; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1781656503918,Lông Vịt,Vịt,Kg,Kg,PROPOSED:HD-BYPRODUCT-1781656503918,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1781656503918; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1780202063417,prod_1782399766159,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,KEEP_SEPARATE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Owner approved E1: KEEP_SEPARATE; no merge; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1780202063417,prod_1782399802559,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,KEEP_SEPARATE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Owner approved E1: KEEP_SEPARATE; no merge; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1782977822236,Phao Câu,Lòng,Kg,Kg,PROPOSED:HD-BYPRODUCT-1782977822236,Kg,BYPRODUCT_PRESERVE_SOURCE_UOM,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved D1: preserve actual Product unit semantics; no automatic unit conversion; PROPOSED code HD-BYPRODUCT-1782977822236; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1786785535576,Vịt Không Móc To,Vịt,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1786785560787,Vịt Không Móc Trung,Vịt,Con,Con,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
